10 24.479
20 70.948
30 127.726
40 190.987
50 257.461
60 330.036
70 407.937
80 487.935
90 566.48
100 649.028
110 734.325
120 817.859
130 906.986
140 996.96
150 1088.2
160 1178.14
170 1274.04
180 1374.6
190 1462.84
200 1565.77
210 1658.27
220 1770.79
230 1861.38
240 1959.24
250 2065.4
260 2155.21
270 2271.24
280 2374.14
290 2471.63
300 2576.94
310 2687.82
320 2793.24
330 2901.51
340 3003.01
350 3110.28
360 3215.2
370 3345.97
380 3456.09
390 3553.62
400 3691.16
410 3770.55
420 3907.28
430 4007.09
440 4113.74
450 4225.32
460 4340.92
470 4468.53
480 4593.77
490 4693.84
500 4815.81
510 4912.71
520 5052.32
530 5164.3
540 5257.17
550 5404.67
560 5497.73
570 5629.66
580 5728.6
590 5854.72
600 5999.9
610 6116.79
620 6222.86
630 6335.91
640 6475.23
650 6605.66
660 6714.84
